num_expediente;fecha;hora;localizacion;numero;cod_distrito;distrito;tipo_accidente;estado_meteorológico;tipo_vehiculo;tipo_persona;rango_edad;sexo;cod_lesividad;lesividad;coordenada_x_utm;coordenada_y_utm;positiva_alcohol;positiva_droga
2023S019170;10/05/2023;15:45:00;AUTOV. M-30, CALZADA EXTERIOR PK 19.500;19XC50;9;MONCLOA-ARAVACA;Alcance;Despejado;Turismo;Conductor;De 35 a 39 años;Hombre;14;Sin asistencia sanitaria;437973.305;4475173.938;N;NULL
2023S019171;10/05/2023;18:10:00;CALL. PRINCESA, 57;57;9;MONCLOA-ARAVACA;Colisión lateral;NULL;Autobús;Conductor;De 40 a 44 años;Hombre;NULL;NULL;439222.553;4475827.827;N;NULL
2023S019171;10/05/2023;18:10:00;CALL. PRINCESA, 57;57;9;MONCLOA-ARAVACA;Colisión lateral;NULL;Turismo;Conductor;De 21 a 24 años;Hombre;NULL;NULL;439222.553;4475827.827;N;NULL
2023S019172;10/05/2023;15:00:00;AUTOV. M-30, 10XC57;10XC57;13;PUENTE DE VALLECAS;Alcance;Despejado;Turismo;Conductor;De 30 a 34 años;Mujer;1;Atención en urgencias sin posterior ingreso;443288.231;4472302.631;N;NULL
2023S019172;10/05/2023;15:00:00;AUTOV. M-30, 10XC57;10XC57;13;PUENTE DE VALLECAS;Alcance;Despejado;Turismo;Conductor;De 30 a 34 años;Mujer;14;Sin asistencia sanitaria;443288.231;4472302.631;N;NULL
2023S019172;10/05/2023;15:00:00;AUTOV. M-30, 10XC57;10XC57;13;PUENTE DE VALLECAS;Alcance;Despejado;Turismo;Conductor;De 65 a 69 años;Hombre;14;Sin asistencia sanitaria;443288.231;4472302.631;N;NULL
2023S019173;10/05/2023;18:20:00;CALL. ARROYO DEL CAÑAVERAL / IMPERIO;1;19;VICÁLVARO;Otro;NULL;Turismo;Conductor;De 35 a 39 años;Hombre;NULL;NULL;452764.163;4472457.048;N;NULL
2023S019174;10/05/2023;16:10:00;AUTOV. M-30, 06XC06;06XC06;15;CIUDAD LINEAL;Colisión múltiple;Despejado;Furgoneta;Conductor;De 55 a 59 años;Hombre;14;Sin asistencia sanitaria;444005.965;4475389.068;N;NULL
2023S019174;10/05/2023;16:10:00;AUTOV. M-30, 06XC06;06XC06;15;CIUDAD LINEAL;Colisión múltiple;Despejado;Turismo;Conductor;De 30 a 34 años;Hombre;14;Sin asistencia sanitaria;444005.965;4475389.068;N;NULL
2023S019174;10/05/2023;16:10:00;AUTOV. M-30, 06XC06;06XC06;15;CIUDAD LINEAL;Colisión múltiple;Despejado;Turismo;Conductor;De 50 a 54 años;Hombre;14;Sin asistencia sanitaria;444005.965;4475389.068;N;NULL
2023S019174;10/05/2023;16:10:00;AUTOV. M-30, 06XC06;06XC06;15;CIUDAD LINEAL;Colisión múltiple;Despejado;Turismo;Pasajero;De 50 a 54 años;Hombre;14;Sin asistencia sanitaria;444005.965;4475389.068;N;NULL
2023S019175;10/05/2023;17:49:00;AUTOV. M-30, 08XC50;08XC50;14;MORATALAZ;Colisión lateral;Despejado;Turismo;Conductor;De 50 a 54 años;Mujer;14;Sin asistencia sanitaria;444009.530;4474081.745;N;NULL
2023S019175;10/05/2023;17:49:00;AUTOV. M-30, 08XC50;08XC50;14;MORATALAZ;Colisión lateral;Despejado;Turismo;Conductor;Más de 74 años;Hombre;14;Sin asistencia sanitaria;444009.530;4474081.745;N;NULL
2023S019175;10/05/2023;17:49:00;AUTOV. M-30, 08XC50;08XC50;14;MORATALAZ;Colisión lateral;Despejado;Turismo;Pasajero;Más de 74 años;Mujer;NULL;NULL;444009.530;4474081.745;N;NULL
2023S019177;10/05/2023;18:00:00;CALL. EZEQUIEL SOLANA / CALL. COLLADOS;1;15;CIUDAD LINEAL;Colisión lateral;Despejado;Motocicleta hasta 125cc;Conductor;De 35 a 39 años;Hombre;5;Asistencia sanitaria ambulatoria con posterioridad;445197.912;4475924.516;N;NULL
